"","threshold","method","testing_population","mean_FDR","mean_FPR","mean_FNR","mean_true_positive","mean_false_positive","mean_true_negative","mean_false_negative","plot_legend","overlap_percentage"
"111",-2.36734693877551,"JLS","YRI",0.495201250827063,0.9806,4e-04,1999.2,1961.2,38.8,0.8,"JLS(Y&C2Y)",100
"112",-2.20408163265306,"JLS","YRI",0.492468780961127,0.9697,0.00065,1998.7,1939.4,60.6,1.3,"JLS(Y&C2Y)",100
"113",-2.04081632653061,"JLS","YRI",0.489049695452453,0.9559,0.0013,1997.4,1911.8,88.2,2.6,"JLS(Y&C2Y)",100
"114",-1.87755102040816,"JLS","YRI",0.484338112958347,0.93705,0.00235,1995.3,1874.1,125.9,4.7,"JLS(Y&C2Y)",100
"115",-1.71428571428571,"JLS","YRI",0.477664002792702,0.9111,0.0037,1992.6,1822.2,177.8,7.4,"JLS(Y&C2Y)",100
"116",-1.55102040816327,"JLS","YRI",0.469324383632817,0.87865,0.0065,1987,1757.3,242.7,13,"JLS(Y&C2Y)",100
"117",-1.38775510204082,"JLS","YRI",0.458855771227791,0.8376,0.0122,1975.6,1675.2,324.8,24.4,"JLS(Y&C2Y)",100
"118",-1.22448979591837,"JLS","YRI",0.445816066790027,0.78825,0.02015,1959.7,1576.5,423.5,40.3,"JLS(Y&C2Y)",100
"119",-1.06122448979592,"JLS","YRI",0.430175878552917,0.7309,0.03185,1936.3,1461.8,538.2,63.7,"JLS(Y&C2Y)",100
"120",-0.897959183673469,"JLS","YRI",0.413279080273672,0.6707,0.04785,1904.3,1341.4,658.6,95.7,"JLS(Y&C2Y)",100
"121",-0.734693877551021,"JLS","YRI",0.393854734225454,0.60425,0.0701,1859.8,1208.5,791.5,140.2,"JLS(Y&C2Y)",100
"122",-0.571428571428572,"JLS","YRI",0.372713175342685,0.53455,0.10035,1799.3,1069.1,930.9,200.7,"JLS(Y&C2Y)",100
"123",-0.408163265306123,"JLS","YRI",0.350850974100513,0.4644,0.1408,1718.4,928.8,1071.2,281.6,"JLS(Y&C2Y)",100
"124",-0.244897959183674,"JLS","YRI",0.32813810496303,0.39575,0.18975,1620.5,791.5,1208.5,379.5,"JLS(Y&C2Y)",100
"125",-0.0816326530612246,"JLS","YRI",0.304434447349192,0.3294,0.2474,1505.2,658.8,1341.2,494.8,"JLS(Y&C2Y)",100
"126",0.0816326530612246,"JLS","YRI",0.280915155415356,0.26885,0.3118,1376.4,537.7,1462.3,623.6,"JLS(Y&C2Y)",100
"127",0.244897959183673,"JLS","YRI",0.258102629572562,0.2148,0.38255,1234.9,429.6,1570.4,765.1,"JLS(Y&C2Y)",100
"128",0.408163265306122,"JLS","YRI",0.232818888383597,0.1638,0.46015,1079.7,327.6,1672.4,920.3,"JLS(Y&C2Y)",100
"129",0.571428571428571,"JLS","YRI",0.207387017016533,0.121,0.5375,925,242,1758,1075,"JLS(Y&C2Y)",100
"130",0.73469387755102,"JLS","YRI",0.183326150424231,0.0867,0.6138,772.4,173.4,1826.6,1227.6,"JLS(Y&C2Y)",100
"131",0.897959183673469,"JLS","YRI",0.16216367557119,0.0606,0.68705,625.9,121.2,1878.8,1374.1,"JLS(Y&C2Y)",100
"132",1.06122448979592,"JLS","YRI",0.140422153561356,0.04035,0.75305,493.9,80.7,1919.3,1506.1,"JLS(Y&C2Y)",100
"133",1.22448979591837,"JLS","YRI",0.12270256389367,0.0266,0.81005,379.9,53.2,1946.8,1620.1,"JLS(Y&C2Y)",100
"134",1.38775510204082,"JLS","YRI",0.106181017417144,0.01695,0.85715,285.7,33.9,1966.1,1714.3,"JLS(Y&C2Y)",100
"135",1.55102040816327,"JLS","YRI",0.0982971003934554,0.01095,0.8995,201,21.9,1978.1,1799,"JLS(Y&C2Y)",100
"136",1.71428571428571,"JLS","YRI",0.0930539594652099,0.0073,0.929,142,14.6,1985.4,1858,"JLS(Y&C2Y)",100
"137",1.87755102040816,"JLS","YRI",0.0837329841199657,0.0044,0.9524,95.2,8.8,1991.2,1904.8,"JLS(Y&C2Y)",100
"138",2.04081632653061,"JLS","YRI",0.0756209348663291,0.0026,0.968,64,5.2,1994.8,1936,"JLS(Y&C2Y)",100
"139",2.20408163265306,"JLS","YRI",0.0622593026448596,0.0013,0.98015,39.7,2.6,1997.4,1960.3,"JLS(Y&C2Y)",100
"140",2.36734693877551,"JLS","YRI",0.0580576776165012,7e-04,0.98905,21.9,1.4,1998.6,1978.1,"JLS(Y&C2Y)",100
"141",2.53061224489796,"JLS","YRI",0.0685003885003885,0.00045,0.99405,11.9,0.9,1999.1,1988.1,"JLS(Y&C2Y)",100
"142",2.69387755102041,"JLS","YRI",0.0715909090909091,3e-04,0.99625,7.5,0.6,1999.4,1992.5,"JLS(Y&C2Y)",100
"143",2.85714285714286,"JLS","YRI",0.02,5e-05,0.99805,3.9,0.1,1999.9,1996.1,"JLS(Y&C2Y)",100
"144",3.02040816326531,"JLS","YRI",NA,0,0.9988,2.4,0,2000,1997.6,"JLS(Y&C2Y)",100
"145",3.18367346938775,"JLS","YRI",NA,0,0.9991,1.8,0,2000,1998.2,"JLS(Y&C2Y)",100
"146",3.3469387755102,"JLS","YRI",NA,0,0.9996,0.8,0,2000,1999.2,"JLS(Y&C2Y)",100
"147",3.51020408163265,"JLS","YRI",NA,0,0.99975,0.5,0,2000,1999.5,"JLS(Y&C2Y)",100
"148",3.6734693877551,"JLS","YRI",NA,0,0.9999,0.2,0,2000,1999.8,"JLS(Y&C2Y)",100
